,«· ﬁ—Ì— «·ﬂ·Ì ·—”„ «·Ê«—œ ·’‰œÊﬁ «·‰ﬁœ «·œÊ·Ì,,,,,,
"April 17, 2019",,,,,,,
TAR_HSC_NB1,,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
30031000,,3079969,12620721927.344,,2843740212.39,,284314910.61
48192010,,3659644,363298847.15,,97414168.96,,109471571.98
48201000,,2299821.,36772592.86,,18209576.98,,8756607.4
84314900,,1983903,2102765363.16549,,886409749.07,,140776374
49100000,,364173.9,4179925.62,,1274811.13,,1523422.75
85365000,,1361531,361527536.9,,111087240.84,,91803835.85
73182900,,563924.5,11853850.91,,3059804.43,,4175798.04
84749000,,2306014,568177844.57,,151597550.26,,80750463.42
85182200,,361788.9,14003917.35,,3546472.76,,6625535.53
84798910,,1043256,1436252472.06,,1241166254.7,,299923523.8
85369000,,3324750.,143998964.76,,44172649.02,,19791178.75
85312000,,32812.72,10156023.02,,2203390.29,,842599.51
33051000,,5610952.,83666224.01,,19022118.44,,90869953.28
33049100,,1836321.,27208630.81,,7246120.86,,29453694.74
84433220,,1477255.,113013781.96,,18521583.17,,31847231.1
85171100,,1058802.,394257952.73,,115784553.54,,207779873.94
84433920,,84517.1,3981506.57,,873506.61,,1409134.04
24039900,,865555.7,11616899.73,,2231807.55,,25356931.92
33079000,,476196.8,6327765.54,,1359007.06,,5310889.06
85176900,,6467578.,2043139711.6,,576384187.7,,399619079.11
73083000,,6318258,540238633.05,,1302544083.44,,305687633.13
71179000,,3143949.,38174321.34,,8492729.8,,30907602.47
85364900,,621039.3,18764642.57,,5743001.39,,3102248.43
55132100,,1054953,14645257.41,,7645565.52,,11842663.15
85012000,,1431996.,23097125.53,,3920362.12,,5857250.57
06031100,,82257.3,10699266,,2397304.13,,1633378.82
90014010,,400782.2,29335252.93,,8770168.09,,2085091.69
32151100,,2665771.,93131051.29,,16469739.5,,4174578.62
,,,,Page 1,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
87099000,1497807.,89055103.16,,29385773.9,,29859876.53
90329000,93892.71,7795918.5,,22767172.09,,1098165.33
48194010,9893931.,119153160.94,,43451061.3,,27085649.73
84799090,6111525.,299740358.08,,44647735.39,,43383922.7
84141000,2650940.,121662816.06,,25091958.56,,24037572.83
32021000,1194272.,8032965.415,,1041707.53,,1518095.52
29199000,245682.9,7051827.79,,2798579.06,,355973.88
90318000,393495.9,61092986.1,,12224430.01,,5870992.48
96170000,2366751,383267382.21,,68175046.62,,156499647.17
84789000,164860.8,155058466.53,,27240293.85,,57928241.2
39222000,180841.7,4442485.81,,657703.36,,2497950.05
08061000,2592178,90059564.21,,17416790.93,,65477617.96
40094100,5848.06,240165.21,,124852.17,,86544.92
84224000,3300913.,378255268.67,,58136051.63,,10109413.86
84369100,3089577.,135230318.54,,14068557.47,,5614323.84
96089900,150211.4,34605975.81,,2545532.22,,1481799.2
85041000,6419609.,258569570.02,,58857617.53,,80572118.75
63041900,1348243,193067586.09,,38219759.03,,188316119.12
28054000,809226.3,49893835.04,,8421479.41,,11948507.07
94031000,1431161.,17308235.82,,7691477.1,,12750447.52
28042900,442869.0,6735530.65,,2097534.24,,1281074
73079300,291719.0,4664053.74,,10311833.37,,888221.69
33029010,3036910.,167299727.35,,24915040.76,,45301444.46
90183900,3786792,216133570.44,,41460131,,2559460.75
84189990,1613580,465267456.61,,127575335.83,,149073070.2
70179000,589148.0,9661027.02,,1956424.58,,5417492.23
62082900,100408.5,3161226.89,,475596.02,,1712697.49
84731000,15887.34,2739456,,1277056.56,,254287.05
32061900,1598698.,14828973.43,,6246912.85,,1778234.67
39232110,3785165.,64263629.62,,16968750.61,,24568580.94
90049090,249626.4,18820531.34,,4234386.58,,4744820.23
57050000,2073273,208764574.66,,55198344.03,,148621151.33
48202000,1047988,90263176.91,,17068461.86,,41473847.91
,,,Page 2,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
21021000,2242782,2875485120.66,,476655092.85,,386801871.66
84189110,3148901.,98847661.5,,20024894.77,,15651081.34
42033000,4062477.,24568370.8,,4539772.77,,24574742.8
73151200,280889.5,5595725.55,,1131271,,3074533.12
96031000,1219709,10542796.91,,2221543.81,,4520402.42
48203000,279771.2,1854114.3,,387240.98,,837170.45
